// Based on http://introcs.cs.princeton.edu/java/44st/elements.csv for elements
// with modifications
// Van der Waals Radii are from "A cartography of van der Waals territories"
// S. Alvarez, Dalton Trans., 2013, 42, 8617-8636; DOI: 10.1039/C2DT50599E
// Element Name, Atomic Number, Symbol, M Wt, van der Waals radius
Hydrogen,1,H,1.01,1.2
Helium,2,He,4,1.43
Lithium,3,Li,6.94,2.12
Beryllium,4,Be,9.01,1.98
Boron,5,B,10.81,1.91
Carbon,6,C,12.01,1.77
Nitrogen,7,N,14.01,1.66
Oxygen,8,O,16,1.5
Fluorine,9,F,19,1.46
Neon,10,Ne,20.18,1.58
Sodium,11,Na,22.99,2.5
Magnesium,12,Mg,24.31,2.51
Aluminum,13,Al,26.98,2.25
Silicon,14,Si,28.09,2.19
Phosphorus,15,P,30.98,1.9
Sulfur,16,S,32.06,1.89
Chlorine,17,Cl,35.45,1.82
Argon,18,Ar,39.95,1.83
Potassium,19,K,39.1,2.73
Calcium,20,Ca,40.08,2.62
Scandium,21,Sc,44.96,2.58
Titanium,22,Ti,47.9,2.46
Vanadium,23,V,50.94,2.42
Chromium,24,Cr,52,2.45
Manganese,25,Mn,54.94,2.45
Iron,26,Fe,55.85,2.44
Cobalt,27,Co,58.93,2.4
Nickel,28,Ni,58.71,2.4
Copper,29,Cu,63.54,2.38
Zinc,30,Zn,65.37,2.39
Gallium,31,Ga,69.72,2.32
Germanium,32,Ge,72.59,2.29
Arsenic,33,As,74.99,1.88
Selenium,34,Se,78.96,1.82
Bromine,35,Br,79.91,1.86
Krypton,36,Kr,83.8,2.25
Rubidium,37,Rb,85.47,3.21
Strontium,38,Sr,87.62,2.84
Yttrium,39,Y,88.91,2.75
Zirconium,40,Zr,91.22,2.52
Niobium,41,Nb,92.91,2.56
Molybdenum,42,Mo,95.94,2.45
Technetium,43,Tc,96.91,2.44
Ruthenium,44,Ru,101.07,2.46
Rhodium,45,Rh,102.9,2.44
Palladium,46,Pd,106.4,2.15
Silver,47,Ag,107.87,2.53
Cadmium,48,Cd,112.4,2.49
Indium,49,In,114.82,2.43
Tin,50,Sn,118.69,2.42
Antimony,51,Sb,121.75,2.47
Tellurium,52,Te,127.6,1.99
Iodine,53,I,126.9,2.04
Xenon,54,Xe,131.3,2.06
Cesium,55,Cs,132.9,3.48
Barium,56,Ba,137.34,3.03
Lanthanum,57,La,138.91,2.98
Cerium,58,Ce,140.12,2.88
Praseodymium,59,Pr,140.91,2.92
Neodymium,60,Nd,144.24,2.95
Promethium,61,Pm,144.91,
Samarium,62,Sm,150.35,2.9
Europium,63,Eu,151.96,2.87
Gadolinium,64,Gd,157.25,2.83
Terbium,65,Tb,158.92,2.79
Dysprosium,66,Dy,162.5,2.87
Holmium,67,Ho,164.93,2.81
Erbium,68,Er,167.26,2.83
Thulium,69,Tm,168.93,2.79
Ytterbium,70,Yb,173.04,2.8
Lutetium,71,Lu,174.97,2.74
Hafnium,72,Hf,178.49,2.63
Tantalum,73,Ta,180.95,2.53
Wolfram,74,W,183.85,2.57
Rhenium,75,Re,186.2,2.49
Osmium,76,Os,190.2,2.48
Iridium,77,Ir,192.22,2.41
Platinum,78,Pt,195.09,2.29
Gold,79,Au,196.97,2.32
Mercury,80,Hg,200.59,2.45
Thallium,81,Tl,204.37,2.47
Lead,82,Pb,207.19,2.6
Bismuth,83,Bi,208.98,2.54
Polonium,84,Po,208.98,
Astatine,85,At,209.99,
Radon,86,Rn,222.02,
Francium,87,Fr,223.02,
Radium,88,Ra,226,
Actinium,89,Ac,227.03,2.8
Thorium,90,Th,232.04,2.93
Protactinium,91,Pa,231.04,2.88
Uranium,92,U,238.03,2.71
Neptunium,93,Np,237,2.82
Plutonium,94,Pu,242,2.81
Americium,95,Am,243.06,2.83
Curium,96,Cm,247.07,3.05
Berkelium,97,Bk,247.07,3.38
Californium,98,Cf,251.08,3.05
Einsteinium,99,Es,254.09,
Fermium,100,Fm,257.1,
Mendelevium,101,Md,257.1,
Nobelium,102,No,255.09,
Lawrencium,103,Lr,256.1,
